Location;year2016;year2017;year2018;year2019;year2020;year2021
NL49007;23.0;22.0;22.0;21.0;17.0;18.0
NL49012;22.0;22.0;24.0;22.0;19.0;19.0
NL49014;17.0;17.0;19.0;18.0;16.0;15.0
NL49016;22.0;22.0;22.0;20.0;17.0;17.0
NL49017;21.0;20.0;21.0;19.0;17.0;18.0
NL49020;23.0;23.0;23.0;20.0;18.0;19.0
NL49546;19.0;22.0;22.0;21.0;18.0;18.0
NL49551;20.0;21.0;24.0;21.0;19.0;18.0
NL49553;21.0;24.0;26.0;25.0;22.0;21.0
NL49556;15.0;14.0;17.0;15.0;13.0;13.0
NL49557;;;;;;21.0
NL49561;19.0;19.0;21.0;19.0;17.0;16.0
NL49564;15.0;18.0;20.0;18.0;16.0;15.0
NL49565;19.0;18.0;20.0;17.0;15.0;15.0
NL49570;17.0;20.0;21.0;20.0;18.0;17.0
NL49572;19.0;20.0;20.0;17.0;17.0;15.0
NL49573;28.0;28.0;32.0;28.0;25.0;23.0
NL49701;22.0;20.0;20.0;18.0;16.0;16.0
NL49703;17.0;16.0;17.0;16.0;15.0;15.0
NL49704;21.0;17.0;20.0;18.0;16.0;16.0

         
